261.3807,987.8246
261.4385,987.8531
261.4963,987.906
261.9029,987.4434
262.3098,987.0159
262.5132,987.9916
345.0581,979.7653
345.5024,979.8062
345.9466,979.8383
346.8524,979.405
347.4789,979.9272
347.7591,978.9556
455.231,968.8667
456.3219,968.8983
457.4125,968.9279
458.7553,968.5074
458.8843,969.0251
460.0994,968.0714
593.1794,955.1301
594.8273,955.1458
596.4747,955.1773
597.8624,955.2863
598.1351,954.783
599.7972,954.3616
768.8603,938.0839
770.8732,938.0894
772.8855,938.1135
774.3233,938.2316
774.7726,937.7307
776.6616,937.3448
992.7584,916.7861
994.9191,916.7889
997.079,916.7913
998.8914,916.9294
999.2355,916.4364
1001.394,916.0752
1258.357,891.2327
1260.521,891.2309
1262.684,891.2244
1265.007,891.3701
1265.165,890.8899
1267.648,890.55
1715.324,854.6628
1717.197,854.6872
1719.068,854.7067
1722.115,854.7858
1722.193,854.3708
1725.322,854.0377
2191.639,809.0472
2193.951,809.1251
2196.263,809.1928
2198.402,809.1337
2199.981,808.8547
2203.704,808.5176
2691.266,763.5681
2694.309,763.6757
2697.351,763.7804
2697.564,763.5915
2701.216,763.4595
2705.084,763.1391
3217.182,718.1725
3221.167,718.2981
3222.56,718.1686
3225.15,718.4222
3228.814,718.1203
3232.483,717.819
4200.044,656.254
4203.307,656.2452
4205.45,656.394
4210.854,656.532
4214.33,656.2479
4217.809,655.9641
5185.626,581.4828
5188.59,581.4705
5191.076,581.6216
5196.525,581.7603
5200.074,581.5111
5203.626,581.2617
6172.354,513.7831
6175.748,513.7777
6177.933,513.9001
6183.508,514.017
6188.674,513.813
6193.845,513.6073
7165.161,452.5985
7168.2,452.6003
7169.643,452.6857
7174.123,452.7718
7181.458,452.5926
7188.801,452.4135
8158.827,397.4084
8160.644,397.4078
8163.578,397.4713
8168.328,397.535
8177.712,397.3691
8187.104,397.204
9151.218,347.7117
9152.225,347.7079
9157.018,347.758
9162.814,347.804
9174.826,347.6606
9186.85,347.5165
10142.27,303.0541
10143.28,303.0596
10151.75,303.096
10160.22,303.132
10172.65,303.0089
10185.1,302.886
11131.9,263.0318
11133.79,263.0376
11144.35,263.0674
11154.91,263.0971
11167.21,262.9923
11179.52,262.8878
12120.05,227.2465
12121.09,227.2519
12132.58,227.2766
12144.07,227.3019
12156.81,227.2145
12169.56,227.1275
13106.2,195.3413
13106.79,195.3375
13118.18,195.3616
13130.16,195.3816
13143.75,195.3107
13157.35,195.2395
14095.07,166.9662
14096.2,166.9632
14108.15,166.983
14121.23,166.9997
14134.75,166.9426
14148.29,166.8853
15062.68,142.2131
15062.9,142.2107
15076.8,142.2261
15090.92,142.2391
15103.09,142.194
15115.27,142.1493
16016.09,121.0928
16017.29,121.0946
16030.98,121.1045
16044.67,121.1147
16054.7,121.0797
16064.74,121.0453
16966.64,103.1233
16969.27,103.1247
16981,103.1323
16992.73,103.14
17000.27,103.114
17007.83,103.0881
17927,87.83316
17930.48,87.83398
17940.07,87.83939
17949.66,87.84488
17955.41,87.82627
17961.16,87.80793
18901.96,74.82224
18905.32,74.82298
18913.39,74.82643
18921.45,74.82988
18926.37,74.81775
18931.29,74.80573
19890.15,63.75137
19892.02,63.75166
19899.6,63.75358
19907.17,63.75549
19911.82,63.74871
19916.48,63.74207
20886.8,54.3308
20887.69,54.33081
20894.75,54.33158
20902.69,54.33216
20907.16,54.33001
20911.64,54.32795
